,ema_fast,ema_slow,rsi_long,rsi_short,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades
932,5,20,55,30,-24.41,-4.56,0.2147,0.27,-91.41,1.0074,694
933,10,200,50,40,-19.48,-3.55,0.2081,0.2494,-73.42,1.0076,23
934,20,100,55,45,-26.36,-4.97,0.2046,0.2549,-90.21,1.0071,10
935,12,30,60,30,-27.11,-5.14,0.2037,0.2564,-89.76,1.007,396
936,12,20,70,35,-27.48,-5.21,0.2029,0.2569,-89.35,1.007,719
937,15,200,50,50,10.99,1.75,0.2028,0.1557,-50.08,1.0112,1
938,12,150,50,30,-26.65,-5.04,0.202,0.254,-89.56,1.007,11
939,12,150,50,40,-26.65,-5.04,0.202,0.254,-89.56,1.007,11
940,12,150,50,35,-26.65,-5.04,0.202,0.254,-89.56,1.007,11
941,10,200,50,35,-21.42,-3.94,0.2007,0.2405,-73.42,1.0073,24
942,5,30,65,35,-28.78,-5.5,0.1983,0.2523,-88.78,1.0068,869
943,20,200,65,35,-29.05,-5.56,0.194,0.2412,-89.98,1.0067,84
944,5,20,55,35,-29.74,-5.71,0.1939,0.2438,-92.9,1.0067,686
945,5,200,55,50,-29.49,-5.66,0.1908,0.2374,-92.9,1.0066,27
946,5,20,65,45,-30.46,-5.88,0.1906,0.2403,-95.61,1.0066,613
947,20,200,50,50,10.84,1.73,0.1904,0.1248,-50.08,1.0123,1
948,12,200,60,35,-30.69,-5.93,0.1866,0.2323,-93.69,1.0065,68
949,12,150,55,30,-31.18,-6.04,0.1853,0.2327,-90.96,1.0064,47
950,5,100,60,45,-31.52,-6.12,0.1842,0.2286,-96.17,1.0064,134
951,25,150,55,35,-31.36,-6.08,0.1832,0.2289,-93.09,1.0064,14
952,25,150,55,30,-32.27,-6.29,0.1794,0.2242,-93.09,1.0062,15
953,20,100,55,40,-33.71,-6.62,0.1745,0.2184,-91.48,1.006,16
954,8,20,70,35,-34.61,-6.84,0.1741,0.2206,-91.79,1.006,873
955,15,20,55,35,-34.27,-6.76,0.174,0.2168,-91.84,1.006,236
956,12,50,55,40,-34.63,-6.84,0.1714,0.2129,-90.52,1.0059,84
957,8,20,60,35,-35.13,-6.96,0.1713,0.2162,-92.51,1.0059,729
958,20,30,60,30,-34.99,-6.93,0.1709,0.2129,-91.66,1.0059,266
959,5,100,65,45,-34.9,-6.9,0.1698,0.211,-97.02,1.0059,150
960,12,20,55,35,-35.46,-7.04,0.1689,0.2109,-92.58,1.0058,306
961,10,30,60,35,-35.62,-7.08,0.1683,0.2123,-92.13,1.0058,448
962,12,50,70,30,-35.94,-7.16,0.1671,0.209,-93.64,1.0058,428
963,15,20,60,30,-36.88,-7.38,0.163,0.205,-91.89,1.0056,504
964,15,20,55,30,-38.04,-7.67,0.1572,0.1958,-91.42,1.0054,240
965,5,200,50,45,-37.63,-7.57,0.1557,0.1945,-91.42,1.0054,27
966,12,30,60,35,-39.04,-7.92,0.1528,0.1921,-91.44,1.0053,386
967,5,20,55,40,-40.5,-8.29,0.1464,0.1839,-95.31,1.005,636
968,20,100,55,35,-40.65,-8.33,0.1429,0.1784,-92.37,1.0049,18
969,5,30,60,35,-42.3,-8.76,0.1383,0.1746,-92.91,1.0048,765
970,10,20,60,30,-42.63,-8.85,0.1362,0.1727,-93.75,1.0047,657
971,12,20,60,40,-42.77,-8.88,0.1348,0.1702,-91.73,1.0046,441
972,5,30,70,35,-43.26,-9.02,0.1341,0.1701,-90.76,1.0046,899
973,5,30,60,30,-43.82,-9.16,0.1308,0.1656,-92.04,1.0045,783
974,12,75,50,50,-35.8,-7.12,0.1302,0.1543,-87.8,1.0048,5
975,20,50,55,30,-43.83,-9.17,0.1288,0.1618,-87.55,1.0044,44
976,8,20,60,30,-44.77,-9.42,0.1258,0.1592,-92.91,1.0043,761
977,8,50,50,45,-44.57,-9.37,0.1221,0.1527,-89.34,1.0042,23
978,10,20,70,30,-46.31,-9.85,0.1181,0.15,-91.57,1.0041,827
979,8,20,70,30,-47.85,-10.29,0.1102,0.14,-91.95,1.0038,923
980,12,150,55,35,-48.86,-10.58,0.1005,0.1258,-91.79,1.0035,45
981,5,20,70,35,-50.56,-11.08,0.096,0.122,-92.09,1.0033,1153
982,12,20,70,30,-50.34,-11.01,0.0958,0.1213,-92.2,1.0033,775
983,5,20,50,35,-50.09,-10.94,0.0951,0.1199,-91.32,1.0033,64
984,5,20,50,30,-50.09,-10.94,0.0951,0.1199,-91.32,1.0033,64
985,5,50,50,30,-49.88,-10.88,0.0948,0.1182,-90.55,1.0033,40
986,8,20,65,30,-51.1,-11.24,0.0917,0.1166,-93.63,1.0032,883
987,5,30,55,30,-51.55,-11.38,0.0877,0.1097,-91.42,1.003,444
988,5,50,50,35,-51.36,-11.32,0.0862,0.1075,-91.08,1.003,40
989,5,20,60,35,-52.36,-11.63,0.0848,0.1073,-93.5,1.0029,1025
990,10,20,65,30,-52.65,-11.72,0.0821,0.1043,-93.45,1.0028,777
991,12,20,60,35,-53.08,-11.85,0.0788,0.0995,-92.98,1.0027,563
992,5,30,55,35,-56.02,-12.8,0.0602,0.0751,-92.37,1.0021,440
993,5,30,70,30,-56.83,-13.07,0.057,0.0724,-92.97,1.002,945
994,12,200,55,45,-51.96,-11.5,0.0498,0.0596,-89.81,1.0018,20
995,5,30,65,30,-58.27,-13.56,0.0471,0.0599,-93.3,1.0016,907
996,5,20,70,30,-58.93,-13.79,0.0438,0.0556,-93.43,1.0015,1189
997,5,20,60,30,-59.44,-13.97,0.0394,0.0499,-93.52,1.0014,1053
998,12,20,65,35,-59.45,-13.97,0.0378,0.0478,-93.81,1.0013,677
999,8,20,50,50,-44.77,-9.42,0.0376,0.0433,-85.57,1.0014,7
1000,25,200,55,40,-54.64,-12.35,0.0323,0.0383,-82.13,1.0012,18
1001,25,50,55,45,-59.49,-13.99,0.032,0.0396,-95.45,1.0011,38
1002,15,20,65,30,-60.34,-14.29,0.0313,0.0395,-94.25,1.0011,629
1003,5,20,60,40,-61.92,-14.87,0.0207,0.0262,-95.26,1.0007,929
1004,25,100,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1005,25,30,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1006,20,100,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1007,25,150,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1008,20,75,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1009,25,200,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1010,20,30,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1011,15,30,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1012,10,30,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1013,25,75,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1014,25,50,50,50,0.0,0.0,0.0,0.0,0.0,inf,0
1015,5,20,65,35,-65.56,-16.28,-0.0065,-0.0083,-94.49,0.9998,1125
1016,12,50,50,45,-65.09,-16.09,-0.0106,-0.0134,-82.4,0.9996,11
1017,5,20,70,40,-66.21,-16.55,-0.0125,-0.0158,-94.77,0.9996,1035
1018,12,20,60,30,-67.19,-16.96,-0.0226,-0.0285,-95.09,0.9992,597
1019,5,20,65,30,-70.42,-18.38,-0.0492,-0.0625,-95.27,0.9983,1159
1020,12,200,50,30,-59.55,-14.01,-0.0663,-0.0774,-73.24,0.9975,11
1021,10,150,50,40,-72.99,-19.61,-0.0844,-0.1062,-87.08,0.9971,16
1022,25,50,55,30,-74.48,-20.36,-0.1,-0.1245,-90.64,0.9965,63
1023,10,150,50,30,-75.73,-21.03,-0.1151,-0.1449,-85.7,0.996,18
1024,25,50,55,35,-76.19,-21.28,-0.12,-0.1493,-90.82,0.9958,61
1025,12,20,65,30,-77.31,-21.91,-0.1267,-0.1599,-96.5,0.9957,725
1026,5,20,65,40,-77.5,-22.02,-0.1278,-0.1616,-96.7,0.9956,1009
1027,10,150,50,45,-78.79,-22.78,-0.1538,-0.1934,-86.81,0.9947,14
1028,20,200,50,45,-61.16,-14.59,-0.1571,-0.1697,-86.45,0.9937,3
